,,,time,reward,length,instance,episode,checkpoint
0,10x10_7_inst,10x10_6_inst,59.56907796859741,0.6404494382022472,100,10x10_6_inst,0,10x10_7_inst/0
0,10x10_8_inst,10x10_6_inst,63.396292209625244,0.6629213483146068,101,10x10_6_inst,0,10x10_8_inst/0
0,10x10_9_inst,10x10_6_inst,59.81100130081177,0.7078651685393258,102,10x10_6_inst,0,10x10_9_inst/0
0,10x10_10_inst,10x10_6_inst,69.78077960014343,0.7191011235955056,112,10x10_6_inst,0,10x10_10_inst/0
0,10x10_11_inst,10x10_6_inst,62.03378486633301,0.6292134831460674,108,10x10_6_inst,0,10x10_11_inst/0
0,10x10_12_inst,10x10_6_inst,56.922956228256226,0.8089887640449438,103,10x10_6_inst,0,10x10_12_inst/0
0,10x10_13_inst,10x10_6_inst,64.52683854103088,0.651685393258427,106,10x10_6_inst,0,10x10_13_inst/0
0,10x10_14_inst,10x10_6_inst,67.63105082511902,0.6629213483146068,108,10x10_6_inst,0,10x10_14_inst/0
0,10x10_15_inst,10x10_6_inst,55.58826518058777,0.7865168539325843,101,10x10_6_inst,0,10x10_15_inst/0
0,10x10_16_inst,10x10_6_inst,61.121957540512085,0.6629213483146068,104,10x10_6_inst,0,10x10_16_inst/0
0,10x10_17_inst,10x10_6_inst,56.50292778015137,0.7415730337078652,103,10x10_6_inst,0,10x10_17_inst/0
0,10x10_18_inst,10x10_6_inst,65.23764133453369,0.696629213483146,107,10x10_6_inst,0,10x10_18_inst/0
0,10x10_19_inst,10x10_6_inst,61.24736309051514,0.6292134831460674,102,10x10_6_inst,0,10x10_19_inst/0
0,10x10_0_inst,10x10_7_inst,67.7886095046997,0.6122448979591837,111,10x10_7_inst,0,10x10_0_inst/0
0,10x10_1_inst,10x10_7_inst,70.55253744125366,0.7653061224489796,110,10x10_7_inst,0,10x10_1_inst/0
0,10x10_2_inst,10x10_7_inst,63.01180815696716,0.6122448979591837,105,10x10_7_inst,0,10x10_2_inst/0
0,10x10_3_inst,10x10_7_inst,67.96855854988098,0.6326530612244898,103,10x10_7_inst,0,10x10_3_inst/0
0,10x10_4_inst,10x10_7_inst,61.556134939193726,0.5306122448979591,101,10x10_7_inst,0,10x10_4_inst/0
0,10x10_5_inst,10x10_7_inst,62.27408528327942,0.6632653061224489,100,10x10_7_inst,0,10x10_5_inst/0
0,10x10_6_inst,10x10_7_inst,64.55977869033813,0.7959183673469388,100,10x10_7_inst,0,10x10_6_inst/0
0,10x10_7_inst,10x10_7_inst,66.94756293296814,0.7653061224489796,102,10x10_7_inst,0,10x10_7_inst/0
0,10x10_8_inst,10x10_7_inst,75.5573217868805,0.5102040816326531,112,10x10_7_inst,0,10x10_8_inst/0
0,10x10_9_inst,10x10_7_inst,64.50467681884766,0.7653061224489796,108,10x10_7_inst,0,10x10_9_inst/0
0,10x10_10_inst,10x10_7_inst,79.03921413421631,0.5102040816326531,124,10x10_7_inst,0,10x10_10_inst/0
0,10x10_11_inst,10x10_7_inst,68.43993496894836,0.5816326530612245,106,10x10_7_inst,0,10x10_11_inst/0
0,10x10_12_inst,10x10_7_inst,72.47862124443054,0.5612244897959184,111,10x10_7_inst,0,10x10_12_inst/0
0,10x10_13_inst,10x10_7_inst,64.82123112678528,0.8061224489795918,101,10x10_7_inst,0,10x10_13_inst/0
0,10x10_14_inst,10x10_7_inst,68.2782952785492,0.7551020408163265,103,10x10_7_inst,0,10x10_14_inst/0
0,10x10_15_inst,10x10_7_inst,70.73891258239746,0.5816326530612245,104,10x10_7_inst,0,10x10_15_inst/0
0,10x10_16_inst,10x10_7_inst,60.26700758934021,0.7551020408163265,102,10x10_7_inst,0,10x10_16_inst/0
0,10x10_17_inst,10x10_7_inst,55.55646347999573,0.7551020408163265,100,10x10_7_inst,0,10x10_17_inst/0
0,10x10_18_inst,10x10_7_inst,62.412575006484985,0.6020408163265306,101,10x10_7_inst,0,10x10_18_inst/0
0,10x10_19_inst,10x10_7_inst,65.65794563293457,0.7551020408163265,102,10x10_7_inst,0,10x10_19_inst/0
0,10x10_0_inst,10x10_8_inst,84.45197558403015,0.7872340425531915,135,10x10_8_inst,0,10x10_0_inst/0
0,10x10_1_inst,10x10_8_inst,71.4130687713623,0.6276595744680851,124,10x10_8_inst,0,10x10_1_inst/0
0,10x10_2_inst,10x10_8_inst,55.411657094955444,0.8191489361702128,106,10x10_8_inst,0,10x10_2_inst/0
0,10x10_3_inst,10x10_8_inst,57.26803374290466,0.5638297872340425,101,10x10_8_inst,0,10x10_3_inst/0
0,10x10_4_inst,10x10_8_inst,56.566614627838135,0.574468085106383,102,10x10_8_inst,0,10x10_4_inst/0
0,10x10_5_inst,10x10_8_inst,46.91760325431824,0.8297872340425532,100,10x10_8_inst,0,10x10_5_inst/0
0,10x10_6_inst,10x10_8_inst,50.70502161979675,0.7978723404255319,100,10x10_8_inst,0,10x10_6_inst/0
0,10x10_7_inst,10x10_8_inst,53.076141357421875,0.44680851063829785,100,10x10_8_inst,0,10x10_7_inst/0
0,10x10_8_inst,10x10_8_inst,50.277599811553955,0.8191489361702128,100,10x10_8_inst,0,10x10_8_inst/0
0,10x10_9_inst,10x10_8_inst,54.023157358169556,0.6702127659574468,104,10x10_8_inst,0,10x10_9_inst/0
0,10x10_10_inst,10x10_8_inst,57.07724595069885,0.6382978723404256,112,10x10_8_inst,0,10x10_10_inst/0
0,10x10_11_inst,10x10_8_inst,56.96927332878113,0.7340425531914894,112,10x10_8_inst,0,10x10_11_inst/0
0,10x10_12_inst,10x10_8_inst,59.49253869056702,0.7659574468085106,111,10x10_8_inst,0,10x10_12_inst/0
0,10x10_13_inst,10x10_8_inst,50.07607650756836,0.7872340425531915,100,10x10_8_inst,0,10x10_13_inst/0
0,10x10_14_inst,10x10_8_inst,55.14841604232788,0.6702127659574468,102,10x10_8_inst,0,10x10_14_inst/0
0,10x10_15_inst,10x10_8_inst,58.14149332046509,0.6808510638297872,105,10x10_8_inst,0,10x10_15_inst/0
0,10x10_16_inst,10x10_8_inst,53.79764413833618,0.6914893617021276,101,10x10_8_inst,0,10x10_16_inst/0
0,10x10_17_inst,10x10_8_inst,46.72292470932007,0.7659574468085106,102,10x10_8_inst,0,10x10_17_inst/0
0,10x10_18_inst,10x10_8_inst,50.249252796173096,0.7978723404255319,104,10x10_8_inst,0,10x10_18_inst/0
0,10x10_19_inst,10x10_8_inst,49.80177640914917,0.8404255319148937,104,10x10_8_inst,0,10x10_19_inst/0
